claim_amount,previous_claim_count,days_since_last_claim,claim_category,risk_label
77418.21,0,880,HEALTH,NORMAL
43943.96,3,478,AUTO,NORMAL
85873.93,5,985,LIFE,REVIEW
69767.07,10,762,HOME,REVIEW
9508.32,8,651,AUTO,NORMAL
97564.67,8,904,AUTO,REVIEW
76137.86,5,516,HEALTH,REVIEW
78627.82,1,721,AUTO,NORMAL
12898.55,4,285,HOME,NORMAL
45093.56,10,964,LIFE,NORMAL
37142.72,0,624,AUTO,NORMAL
92683.82,9,783,AUTO,REVIEW
64422.13,7,461,LIFE,NORMAL
82293.89,3,867,HOME,NORMAL
44397.08,8,75,AUTO,REVIEW
22801.15,9,115,LIFE,NORMAL
55503.02,0,508,LIFE,NORMAL
6475.34,1,733,HOME,NORMAL
82780.35,7,810,HEALTH,REVIEW
63203.27,10,441,AUTO,REVIEW
75832.97,0,650,AUTO,NORMAL
35517.14,7,554,HOME,NORMAL
97072.73,1,962,AUTO,NORMAL
89322.8,7,655,HEALTH,REVIEW
77860.51,6,417,HEALTH,REVIEW
19544.41,0,970,AUTO,NORMAL
46725.43,7,108,HOME,REVIEW
4476.0,9,985,AUTO,NORMAL
15513.52,9,155,LIFE,NORMAL
68336.59,0,289,AUTO,REVIEW
74501.74,2,822,HEALTH,REVIEW
96754.22,2,734,HOME,REVIEW
32649.95,4,971,HOME,NORMAL
37108.92,1,750,HEALTH,NORMAL
47008.63,9,638,HEALTH,REVIEW
19028.19,8,347,HOME,NORMAL
13079.16,8,5,HEALTH,NORMAL
47622.92,2,124,LIFE,NORMAL
22768.24,0,298,HOME,NORMAL
67014.42,10,41,HOME,REVIEW
43771.48,3,509,AUTO,NORMAL
83284.55,7,778,HEALTH,REVIEW
70056.48,10,964,HOME,REVIEW
31305.43,0,490,HOME,NORMAL
83242.75,0,876,AUTO,REVIEW
80495.96,0,986,LIFE,NORMAL
38809.09,1,860,HOME,NORMAL
28903.98,0,465,HEALTH,NORMAL
68281.3,9,326,AUTO,REVIEW
14061.27,6,978,LIFE,NORMAL
20070.83,10,242,AUTO,NORMAL
835.49,8,412,AUTO,NORMAL
78713.75,10,75,LIFE,REVIEW
66518.6,2,794,LIFE,NORMAL
70546.02,3,650,AUTO,NORMAL
78094.83,9,85,HOME,REVIEW
45945.69,2,222,HEALTH,NORMAL
56917.25,0,556,LIFE,NORMAL
14065.72,7,541,HOME,NORMAL
11541.55,8,803,HOME,NORMAL
66873.46,10,267,HEALTH,REVIEW
47162.51,10,925,HEALTH,REVIEW
56567.09,1,445,HEALTH,NORMAL
76523.39,8,823,HOME,REVIEW
63508.36,9,239,AUTO,REVIEW
55402.58,7,37,LIFE,REVIEW
55964.8,9,56,LIFE,REVIEW
30464.61,9,373,HEALTH,NORMAL
3178.7,4,954,AUTO,NORMAL
43728.07,0,49,AUTO,NORMAL
21537.01,5,369,HEALTH,NORMAL
40912.01,2,110,AUTO,NORMAL
85354.97,1,932,LIFE,NORMAL
23470.55,1,676,HOME,NORMAL
5924.44,7,763,HEALTH,NORMAL
28210.25,5,714,LIFE,NORMAL
29430.02,5,658,HOME,NORMAL
66225.46,8,774,AUTO,REVIEW
55747.51,6,9,HEALTH,REVIEW
78411.43,6,866,HOME,NORMAL
66464.92,0,740,HOME,NORMAL
40698.05,9,740,HEALTH,NORMAL
81420.64,4,394,LIFE,NORMAL
16780.59,1,801,HOME,NORMAL
2368.94,8,382,AUTO,NORMAL
9095.78,8,49,HOME,NORMAL
72263.7,0,908,HOME,NORMAL
46241.54,2,235,AUTO,REVIEW
16211.05,0,102,AUTO,NORMAL
50154.37,2,622,HEALTH,NORMAL
15315.98,1,234,AUTO,NORMAL
69662.41,7,859,LIFE,NORMAL
44671.01,5,444,AUTO,REVIEW
38164.02,10,5,AUTO,REVIEW
30221.06,8,952,HEALTH,NORMAL
63065.23,6,515,LIFE,NORMAL
36245.08,5,263,AUTO,REVIEW
8856.23,0,678,AUTO,NORMAL
11888.79,0,531,AUTO,NORMAL
96193.58,6,30,HOME,REVIEW
90867.21,0,760,HOME,NORMAL
70000.74,0,402,AUTO,NORMAL
26660.41,2,700,AUTO,NORMAL
96920.72,9,896,HOME,REVIEW
77897.22,5,611,LIFE,NORMAL
71717.33,7,672,HEALTH,REVIEW
44991.21,4,255,HOME,NORMAL
27296.93,1,238,AUTO,NORMAL
9729.46,4,416,AUTO,NORMAL
90269.98,1,853,AUTO,REVIEW
45632.05,8,525,HEALTH,NORMAL
20316.1,2,349,LIFE,NORMAL
30665.07,4,780,LIFE,NORMAL
57964.03,10,854,LIFE,REVIEW
17759.6,6,903,LIFE,NORMAL
85675.77,5,299,LIFE,REVIEW
75876.1,5,710,AUTO,REVIEW
71974.35,8,591,AUTO,REVIEW
43266.09,2,449,AUTO,NORMAL
62768.15,7,397,HOME,REVIEW
58451.39,9,115,AUTO,REVIEW
65019.68,6,275,HEALTH,REVIEW
8535.99,4,550,HEALTH,NORMAL
41639.16,1,887,HOME,NORMAL
4257.26,2,867,AUTO,NORMAL
49449.68,10,188,AUTO,REVIEW
33053.14,5,680,AUTO,NORMAL
14537.97,3,85,LIFE,NORMAL
10429.96,4,676,HOME,NORMAL
58805.69,6,342,HEALTH,NORMAL
17142.24,5,450,AUTO,NORMAL
92519.5,7,718,HOME,REVIEW
58148.01,2,425,HOME,NORMAL
34752.29,7,808,HEALTH,NORMAL
59132.46,4,534,HEALTH,NORMAL
2378.11,10,999,AUTO,NORMAL
95860.07,1,639,LIFE,NORMAL
48282.11,1,297,AUTO,NORMAL
78295.25,5,776,LIFE,NORMAL
8364.73,5,408,AUTO,NORMAL
48717.17,7,535,AUTO,REVIEW
49121.63,4,137,HEALTH,NORMAL
93788.86,10,120,AUTO,REVIEW
57215.63,5,575,HOME,NORMAL
47401.59,1,187,HOME,NORMAL
26770.87,1,998,AUTO,NORMAL
33223.74,10,856,HEALTH,NORMAL
52115.17,1,701,LIFE,NORMAL
43947.25,10,735,LIFE,NORMAL
2259.05,3,596,AUTO,NORMAL
82646.56,1,61,HOME,REVIEW
89626.46,3,393,AUTO,REVIEW
14110.88,6,496,AUTO,NORMAL
55448.21,4,916,AUTO,NORMAL
10946.72,8,220,LIFE,NORMAL
67256.79,6,497,LIFE,REVIEW
28195.26,4,345,HEALTH,NORMAL
65976.32,6,135,HOME,REVIEW
72726.76,10,104,HOME,REVIEW
76887.88,4,366,HOME,NORMAL
10863.32,1,83,HOME,NORMAL
91609.58,4,68,HOME,REVIEW
23098.38,9,351,AUTO,REVIEW
3837.51,2,202,AUTO,NORMAL
55529.76,10,555,LIFE,NORMAL
37155.14,6,18,HOME,NORMAL
82996.0,6,302,LIFE,NORMAL
80844.32,3,454,AUTO,REVIEW
31782.18,10,964,HOME,NORMAL
95294.65,0,635,AUTO,REVIEW
29162.69,3,881,AUTO,NORMAL
51554.21,4,344,AUTO,REVIEW
25670.91,5,450,AUTO,NORMAL
93610.75,5,421,LIFE,REVIEW
16544.32,1,888,AUTO,NORMAL
4586.57,2,960,HEALTH,NORMAL
43566.2,1,963,HOME,NORMAL
99238.32,6,752,HOME,REVIEW
89178.56,3,504,HOME,REVIEW
74885.94,6,541,AUTO,REVIEW
89090.17,6,981,LIFE,NORMAL
89355.32,7,285,HEALTH,REVIEW
51933.95,6,347,HEALTH,REVIEW
31661.31,7,897,HOME,NORMAL
77224.04,6,387,AUTO,REVIEW
66199.96,7,236,LIFE,REVIEW
37428.41,6,561,AUTO,NORMAL
9537.22,3,326,AUTO,NORMAL
74704.28,2,891,AUTO,NORMAL
26319.81,8,910,HEALTH,NORMAL
93687.63,3,307,HEALTH,REVIEW
24172.96,6,530,HEALTH,NORMAL
12363.52,2,984,HEALTH,NORMAL
83128.16,4,743,AUTO,REVIEW
15413.1,5,216,LIFE,NORMAL
18008.9,6,591,HOME,NORMAL
59978.34,5,620,HEALTH,NORMAL
87468.75,3,654,AUTO,REVIEW
19723.82,10,26,LIFE,NORMAL
31101.33,5,300,AUTO,NORMAL
77762.74,8,855,AUTO,REVIEW
97185.46,8,242,HOME,REVIEW
50124.04,6,300,AUTO,NORMAL
14475.36,9,323,AUTO,REVIEW
